Planting_ID,Block,Comps,plant_present,present_with_seeds,seeds,glumes,undeveloped,Date_counted,Notes
160,10,n,y,y,3,2,0,9/3/2020,
161,10,n,y,y,42,22,0,9/3/2020,
162,10,n,n,,,,,9/3/2020,
163,10,n,n,,,,,9/3/2020,
164,10,n,n,,,,,9/3/2020,
165,10,n,n,,,,,9/3/2020,
166,10,n,x,,,,,9/3/2020,tube missing
167,10,n,n,,,,,9/3/2020,
168,10,n,y,y,7,8,0,9/3/2020,
169,10,n,y,y,7,7,0,9/3/2020,
170,10,n,y,y,55,40,5,9/3/2020,
171,10,n,n,,,,,9/3/2020,
172,10,n,y,y,6,6,0,9/3/2020,
173,10,n,n,,,,,9/3/2020,
174,10,n,y,y,40,35,3,9/3/2020,a little green
175,10,n,n,,,,,9/3/2020,
176,10,n,n,,,,,9/3/2020,
177,10,n,n,,,,,9/3/2020,
178,10,n,n,,,,,9/3/2020,
179,10,n,n,,,,,9/3/2020,
180,10,n,n,,,,,9/3/2020,
181,10,n,y,y,112,67,5,9/3/2020,a little green
182,10,n,y,y,55,46,0,9/3/2020,
183,10,n,y,y,14,11,1,9/3/2020,
184,10,n,n,,,,,9/3/2020,
507,5,n,n,,,,,9/10/2020,
508,5,n,y,y,34,24,4,9/10/2020,still green
509,5,n,y,y,88,53,2,9/10/2020,some still green
510,5,n,n,,,,,9/10/2020,
511,5,n,y,y,21,12,0,9/10/2020,
512,5,n,n,,,,,9/10/2020,
513,5,n,n,,,,,9/10/2020,
514,5,n,n,,,,,9/10/2020,
515,5,n,n,,,,,9/10/2020,
516,5,n,n,,,,,9/10/2020,
517,5,n,y,,24,18,0,9/10/2020,
518,5,n,n,,,,,9/10/2020,
519,5,n,n,,,,,9/10/2020,
520,5,n,n,,,,,9/10/2020,
521,5,n,n,,,,,9/10/2020,
522,5,n,y,y,21,14,2,9/10/2020,
523,5,n,n,,,,,9/10/2020,
524,5,n,n,,,,,9/10/2020,
525,5,n,x,,,,,9/10/2020,no plant in envelope
526,5,n,n,,,,,9/10/2020,
527,5,n,n,,,,,9/10/2020,
528,5,n,n,,,,,9/10/2020,
529,5,n,n,,,,,9/10/2020,
530,5,n,n,,,,,9/10/2020,
531,5,n,y,y,19,12,2,9/10/2020,
532,5,n,n,,,,,9/10/2020,
533,5,n,n,,,,,9/10/2020,
534,5,n,n,,,,,9/10/2020,
535,5,n,n,,,,,9/10/2020,
